"group","annotation"
"USA","0: ESBL-, Carb-"
"USA","0: ESBL-, Carb-"
"USA","0: ESBL-, Carb-"
"USA","0: ESBL-, Carb-"
"USA","0: ESBL-, Carb-"
"USA","0: ESBL-, Carb-"
"USA","0: ESBL-, Carb-"
"USA","0: ESBL-, Carb-"
"USA","0: ESBL-, Carb-"
"USA","0: ESBL-, Carb-"
"USA","0: ESBL-, Carb-"
"USA","0: ESBL-, Carb-"
"USA","0: ESBL-, Carb-"
"USA","0: ESBL-, Carb-"
"USA","0: ESBL-, Carb-"
"USA","0: ESBL-, Carb-"
"USA","0: ESBL-, Carb-"
"USA","0: ESBL-, Carb-"
"USA","0: ESBL-, Carb-"
"USA","0: ESBL-, Carb-"
"USA","0: ESBL-, Carb-"
"USA","0: ESBL-, Carb-"
"USA","0: ESBL-, Carb-"
"USA","0: ESBL-, Carb-"
"USA","0: ESBL-, Carb-"
"USA","0: ESBL-, Carb-"
"USA","0: ESBL-, Carb-"
"USA","0: ESBL-, Carb-"
"USA","0: ESBL-, Carb-"
"USA","0: ESBL-, Carb-"
"USA","0: ESBL-, Carb-"
"USA","0: ESBL-, Carb-"
"USA","0: ESBL-, Carb-"
"USA","0: ESBL-, Carb-"
"USA","0: ESBL-, Carb-"
"USA","0: ESBL-, Carb-"
"USA","0: ESBL-, Carb-"
"USA","0: ESBL-, Carb-"
"USA","0: ESBL-, Carb-"
"USA","0: ESBL-, Carb-"
"USA","0: ESBL-, Carb-"
"USA","0: ESBL-, Carb-"
"USA","0: ESBL-, Carb-"
"USA","0: ESBL-, Carb-"
"UK","0: ESBL-, Carb-"
"UK","0: ESBL-, Carb-"
"USA","0: ESBL-, Carb-"
"USA","0: ESBL-, Carb-"
"USA","1: ESBL+, Carb-"
"USA","0: ESBL-, Carb-"
"USA","0: ESBL-, Carb-"
"USA","0: ESBL-, Carb-"
"USA","0: ESBL-, Carb-"
"USA","0: ESBL-, Carb-"
"USA","0: ESBL-, Carb-"
"USA","0: ESBL-, Carb-"
"USA","0: ESBL-, Carb-"
"USA","0: ESBL-, Carb-"
"USA","0: ESBL-, Carb-"
"USA","0: ESBL-, Carb-"
"USA","0: ESBL-, Carb-"
"USA","1: ESBL+, Carb-"
"USA","0: ESBL-, Carb-"
"USA","0: ESBL-, Carb-"
"USA","0: ESBL-, Carb-"
"USA","0: ESBL-, Carb-"
"USA","0: ESBL-, Carb-"
"USA","0: ESBL-, Carb-"
"USA","0: ESBL-, Carb-"
"China","0: ESBL-, Carb-"
"China","0: ESBL-, Carb-"
"China","1: ESBL+, Carb-"
"China","0: ESBL-, Carb-"
"China","0: ESBL-, Carb-"
"China","0: ESBL-, Carb-"
"China","0: ESBL-, Carb-"
"unknown","0: ESBL-, Carb-"
"China","2: Carb+"
"China","2: Carb+"
"China","2: Carb+"
"China","2: Carb+"
"China","2: Carb+"
"China","2: Carb+"
"China","2: Carb+"
"China","2: Carb+"
"Germany","0: ESBL-, Carb-"
"Germany","0: ESBL-, Carb-"
"Germany","0: ESBL-, Carb-"
"Germany","0: ESBL-, Carb-"
"Germany","1: ESBL+, Carb-"
"Germany","1: ESBL+, Carb-"
"Germany","0: ESBL-, Carb-"
"Germany","0: ESBL-, Carb-"
"Germany","0: ESBL-, Carb-"
"Germany","0: ESBL-, Carb-"
"Germany","0: ESBL-, Carb-"
"Germany","0: ESBL-, Carb-"
"Germany","0: ESBL-, Carb-"
"Germany","0: ESBL-, Carb-"
"Germany","0: ESBL-, Carb-"
"Germany","0: ESBL-, Carb-"
"Germany","0: ESBL-, Carb-"
"Germany","0: ESBL-, Carb-"
"Germany","0: ESBL-, Carb-"
"Germany","0: ESBL-, Carb-"
"Germany","0: ESBL-, Carb-"
"Germany","0: ESBL-, Carb-"
"China","1: ESBL+, Carb-"
"China","1: ESBL+, Carb-"
"China","2: Carb+"
"China","2: Carb+"
"China","2: Carb+"
"China","2: Carb+"
"China","2: Carb+"
"China","1: ESBL+, Carb-"
"China","1: ESBL+, Carb-"
"China","2: Carb+"
"China","1: ESBL+, Carb-"
"China","3: Carb+, Col+"
"China","3: Carb+, Col+"
"China","1: ESBL+, Carb-"
"China","1: ESBL+, Carb-"
"China","1: ESBL+, Carb-"
"China","3: Carb+, Col+"
"China","1: ESBL+, Carb-"
"unknown","1: ESBL+, Carb-"
"unknown","1: ESBL+, Carb-"
"unknown","0: ESBL-, Carb-"
"unknown","0: ESBL-, Carb-"
"unknown","1: ESBL+, Carb-"
"unknown","1: ESBL+, Carb-"
"unknown","1: ESBL+, Carb-"
"unknown","1: ESBL+, Carb-"
"unknown","1: ESBL+, Carb-"
"unknown","1: ESBL+, Carb-"
"unknown","0: ESBL-, Carb-"
"unknown","1: ESBL+, Carb-"
"Thailand","0: ESBL-, Carb-"
"Thailand","0: ESBL-, Carb-"
"Thailand","0: ESBL-, Carb-"
"Thailand","0: ESBL-, Carb-"
"Thailand","0: ESBL-, Carb-"
"Thailand","0: ESBL-, Carb-"
"Thailand","0: ESBL-, Carb-"
"Thailand","0: ESBL-, Carb-"
"Thailand","0: ESBL-, Carb-"
"Thailand","0: ESBL-, Carb-"
"Thailand","0: ESBL-, Carb-"
"Thailand","0: ESBL-, Carb-"
"Thailand","0: ESBL-, Carb-"
"Thailand","0: ESBL-, Carb-"
"Thailand","0: ESBL-, Carb-"
"Thailand","0: ESBL-, Carb-"
"Thailand","0: ESBL-, Carb-"
"China","2: Carb+"
"China","2: Carb+"
"China","2: Carb+"
"China","2: Carb+"
"USA","0: ESBL-, Carb-"
"UK","0: ESBL-, Carb-"
"USA","0: ESBL-, Carb-"
"USA","0: ESBL-, Carb-"
"USA","0: ESBL-, Carb-"
"USA","0: ESBL-, Carb-"
"USA","0: ESBL-, Carb-"
"USA","0: ESBL-, Carb-"
"USA","0: ESBL-, Carb-"
"USA","0: ESBL-, Carb-"
"USA","1: ESBL+, Carb-"
"USA","0: ESBL-, Carb-"
"USA","0: ESBL-, Carb-"
"USA","0: ESBL-, Carb-"
"USA","0: ESBL-, Carb-"
"Brazil","0: ESBL-, Carb-"
"USA","3: Carb+, Col+"
"China","1: ESBL+, Carb-"
"China","1: ESBL+, Carb-"
"Brazil","2: Carb+"
"Brazil","1: ESBL+, Carb-"
"Greece","0: ESBL-, Carb-"
"Brazil","1: ESBL+, Carb-"
"Brazil","1: ESBL+, Carb-"
"Brazil","0: ESBL-, Carb-"
"Switzerland","2: Carb+"
"Switzerland","2: Carb+"
"Switzerland","1: ESBL+, Carb-"
"Switzerland","2: Carb+"
"Switzerland","2: Carb+"
"Switzerland","2: Carb+"
"Switzerland","2: Carb+"
"Brazil","2: Carb+"
"Switzerland","2: Carb+"
"Switzerland","1: ESBL+, Carb-"
"China","2: Carb+"
"France","0: ESBL-, Carb-"
"France","0: ESBL-, Carb-"
"Netherlands","0: ESBL-, Carb-"
"France","0: ESBL-, Carb-"
"Brazil","1: ESBL+, Carb-"
"Brazil","1: ESBL+, Carb-"
"Brazil","1: ESBL+, Carb-"
"China","0: ESBL-, Carb-"
"Nigeria","0: ESBL-, Carb-"
"Portugal","1: ESBL+, Carb-"
